1,"People's Co-op Farmers Market","30th and Burnside",Portland,Multnomah,Oregon,97202
2,"Silverdale Farmers Market",98383,Silverdale,Kitsap,Washington,98383
3,"Dolgeville Farmer's Market","(Parking Lot) Between Main St. and Helmer Ave",Dolgeville,Herkimer,"New York",13329
4,"Preston Farmers’ Market","#1 Route 164",Preston,"New London",Connecticut,
5,"Quincy Farmers Market","0 Denis Ryan Parkway",Quincy,Norfolk,Massachusetts,2169
6,"Jefferson City Farmer's Market","000 Main Street","Jefferson City",Cole,Missouri,0
7,"Petaluma Evening Farmers' Market","1 2nd Street",Petaluma,Sonoma,California,94952
8,"Charlestown Farmers Market","1 Austin Street, Thompson Square at Austin & Main Streets",Boston,,Massachusetts,2129
9,"Farmers Market at Christopher Newport University","1 Avenue of the Arts","Newport News","Newport News",Virginia,23606
10,"Saratoga Farmers' Market","1 Bayberry Drive","Ballston Sp",Saratoga,"New York",12020
11,"Charles Square","1 Bennett Street,",Cambridge,Middlesex,Massachusetts,2138
12,"Coxsackie Farmers' Market","1 Betke Boulevard",Coxsackie,Greene,"New York",12051
13,"Otsiningo Park Farmers' Market","1 Bevier St",Binghamton,Broome,"New York",13905
14,"Hartford Farmers Market","1 Block North of Highway 60 on Rural Street",Hartford,Washington,Wisconsin,53027
15,"Farmers Market in Denison","1 block west of Main St.",Denison,,Texas,75090
16,"Riverside Farmers' Market","1 Burling Rd.",Riverside,Cook,Illinois,60546
17,"Farmers Market in Camdenton","1 Camden Ct NW",Camdenton,Camden,Missouri,65020
18,"Grand Valley State University Farmers Market","1 Campus Drive, Parking Lot F",Allendale,Ottawa,Michigan,49504
19,"Ringwood Farmers' Market","1 Cannici Drive",Ringwood,Passaic,"New Jersey",7456
20,"Scottdale Farmers Market","1 Centennial Way",Scottdale,Westmoreland,Pennsylvania,15683
21,"TRAVELERS REST COMMUNITY FARMERS MARKET","1 Center Street","Travelers Rest",Greenville,"South Carolina",29690
22,"Farmers Market on the Westford Common","1 Common Rd",Westford,,Vermont,5494
23,"Belington Farmers Market","1 County Highway 11",Belington,Barbour,"West Virginia",25250
24,"Plaza Marketplace","1 Courthouse Square",Hillsboro,,Illinois,62049
25,"Cheyenne Farmers Market","1 Depot Plaza",Cheyenne,Laramie,Wyoming,82001
26,"Pinckneyville Farmers Market","1 E Water St.",Pinckneyville,Perry,Illinois,62274
27,"Skaneateles Farmers Market","1 East Austin Street",Skaneateles,Onondaga,"New York",13152
28,"North Providence Farmers Market","1 Governor Notte Parkway off 1675 Douglas Avenue","North Providence",Providence,"Rhode Island",2904
29,"Grafton Farmers Market","1 Grafton Common",Grafton,Worcester,Massachusetts,1519
30,"West Stockbridge Farmers Market","1 Harris Street, Merritt Green","West Stockbridge",Berkshire,Massachusetts,1266
31,"North Quincy Farmers Market","1 Heritage Drive, ING Parking Lot",Quincy,,Massachusetts,2171
32,"St. John's Church Farmers Market","1 Hudson Street","New York City",Westchester,"New York",10701
33,"Historic Park Irvine","1 Irvine Park Rd.","City of irvine",Orange,California,92869
34,"Irvine Regional Park Certified Farmers' Market","1 Irvine Park Road",Orange,Orange,California,
35,"Braintree Farmers Market","1 JFK Memorial Drive",Braintree,Norfolk,Massachusetts,2184
36,"Portsmouth Farmers' Market","1 Junkins Avenue",Portsmouth,,"New Hampshire",
37,"Atkinson NH Farmers Market","1 Kip Cam Road",Atkinson,Rockingham,"New Hampshire",3811
38,"Gettysburg Farmers' Market","1 Lincoln Square",Gettysburg,Adams,Pennsylvania,17325
39,"Winooski Farmers' Market","1 Main St.",Winooski,Chittenden,Vermont,5404
40,"Woodbridge Farmers Market","1 Main Street, Woodbridge",Woodbridge,"Middlesex County","New Jersey",
41,"Tuma’s Farmers Market","1 mile east of Hot Springs, SD on Hwy 18","Hot Springs","Fall River County","South Dakota",
42,"Waltham Farmers' Market","1 Moody Street",Waltham,Middlesex,Massachusetts,2454
43,"Ocala Farm Market","1 NE 1st Avenue",Ocala,Marion,Florida,34470
44,"Carbondale Farmers Market","1 North Main Street",Carbondale,Lackawanna,Pennsylvania,18407
45,"Farmers' Market at Mill Park","1 Northern Ave",Augusta,Kennebec,Maine,4330
46,"Harvard University Farmers' Market","1 Oxford Street",Cambridge,Middlesex,Massachusetts,2138
47,"Smart Markets Manassas Park","1 Park Center Ct.","Manassas Park","Prince William",Virginia,20111
48,"Acton-Boxborough Farmers Market","1 Pearl St",Acton,Middlesex,Massachusetts,1720
49,"Willoughby Outdoor Market","1 Public Square",Willoughby,Lake,Ohio,44094
50,"REC'S Mobile Farmers Market - YWCA of Central MA","1 Salem Square",Worcester,Worcester,Massachusetts,
51,"Castine Farmers' Market","1 School St.",Castine,Hancock,Maine,4420
52,"Lake Worth Farmer's Market, Waterside","1 South Ocean Blvd.","Lake Worth",,Florida,33460
53,"Crescent City Farmers Market","1 South Summit Street","Crescent City",Putnam,Florida,32112
54,"York Gateway Farmers' Market","1 Stonewall Lane",York,York,Maine,3909
55,"Carefree Farmers Market","1 Sundial Circle",Carefree,Maricopa,Arizona,85377
56,"Troy Waterfront Farmers Market","1 Third Street",Troy,Rensselaer,"New York",12180
57,"Taylor Farmers' Market","1 Town Square Lane",Taylor,Lafayette,Mississippi,38673
58,"Heart of the City Farmers' Market","1 United Nations Plaza","San Francisco","San Francisco",California,94102
59,"North Asheville Tailgate Market","1 University Heights",Asheville,Buncombe,"North Carolina",28804
60,"Winter Sun Farms Indoor Winter Market","1 Veteran Drive","New Paltz",Ulster,"New York",12561
61,"New Lenox Farmers Market","1 Veterans Parkway","New Lenox",Will,Illinois,60451
62,"Sandhills Farmers Green Market","1 Village Green Rd West",Pinehurst,Moore,"North Carolina",28374
63,"Oakmont Farmers Market","1 W Eagle Road",Havertown,Delaware,Pennsylvania,19083
64,"Kennedy Plaza Farmers Market","1 w. Chester Street","Long Beach",Nassau,"New York",11561
65,"REAP Ellicottville Farmers Market","1 W. Washington Street",Ellicottville,Cattaraugus,"New York",14731
66,"Forsyth Farmers' Market","1 West Park Avenue",Savannah,Chatham,Georgia,31401
67,"Northport Farmers Market","1 Woodbine Ave.",Northport,Suffolk,"New York",11768
68,"Hollywood Market @ Young Circle","1 Young Circle",Hollywood,Broward,Florida,33022
69,"KC Organics and Natural Market","1/4 mile East of Holmes Road on Red Bridge Road","Kansas City",Jackson,Missouri,64114
70,"Towson Farmers' Market","10 Alleghany Avenue",Towson,Baltimore,Maryland,21204
71,"Thursday Marin Farmers Market","10 Avenue of the Flags","San Rafael",Marin,California,94903
72,"Deerfield Farmer's Market","10 Church Street",Deerfield,Rockingham,"New Hampshire",3037
73,"Brick District Farmers' Market","10 East 5th Street",Fulton,Callaway,Missouri,65251
74,"Fox School Farmers Market","10 East Main Street","South Paris",Oxford,Maine,4281
75,"Ipswich Farmers Market","10 Estes Street, Ebsco Parking Lot",Ipswich,,Massachusetts,1938
76,"Imperial Beach Certified Farmers Market","10 Evergreen Ave.(Pier Plaza)","Imperial Beach","San Diego",California,91932
77,"Fresh Friday Farmers Market sponsored by Kaiser Permanente","10 Hopkins Plaza",Baltimore,"Baltimore City",Maryland,21201
78,"Sugar Grove Farmers Market","10 Municipal Drive","Sugar Grove",,Illinois,60554
79,"Greater Danville Chamber of Commerce Farmer's Market","10 S Jefferson St.",Danville,Hendricks,Indiana,46122
80,Charlemont,"10 School St./Route 2",charlemont,Franklin,Massachusetts,
81,"Kittery Community Market","10 Shapleigh RD",Kittery,York,Maine,3904
82,"Shillington Farmers market","10 South Summit Avenue",Shillington,Berks,Pennsylvania,19607
83,"King City Certified Farmers Market","100 & 200 Block of Broadway St.","King City",Monterey,California,93930
84,"Janesville Farmers Market","100 & 200 Blocks of Main Street",Janesville,Rock,Wisconsin,53545
85,"Valley Junction Farmers Market","100 & 200 blocks on 5th Street","West Des Moines",Polk,Iowa,50265
86,"Hayfield Farmer Market","100 2nd Street NE",Hayfield,Dodge,Minnesota,55940
87,"San Francisco Alemany Farmers Market","100 Alemany Boulevard","San Francisco","San Francisco",California,94110
88,"South Wedge Farmers Market","100 Alexander St.",Rochester,Monroe,"New York",14620
89,"Kelso Bridge Market","100 Allen St. & Pacific Ave.",Kelso,Cowlitz,Washington,98626
90,"Downtown Cumberland","100 Baltimore Street",Cumberland,Allegany,Maryland,21502
91,"Richmond County Farmers Market","100 Biltmore Drive",Rockingham,Richmond,"North Carolina",28379
92,"Mason Area Farmers Market","100 block East Maple at Jefferson (in street)",Mason,Ingham,Michigan,48854
